Study_Hours,Previous_Scores,Sleep_Hours,Performance_Index
4.2,92.7,4.7,78.4
9.1,53.9,6.9,72.5
7.2,48.4,6.9,62.0
6.1,68.4,7.4,70.0
2.3,97.2,7.8,78.9
2.3,54.0,8.9,49.7
1.5,79.0,6.8,63.7
8.4,84.2,6.0,84.7
6.1,53.8,8.1,62.6
7.0,82.2,5.7,77.8
1.2,61.3,6.5,52.3
9.2,76.7,4.9,85.3
8.1,76.7,4.6,77.8
2.8,71.1,8.8,65.6
2.5,45.2,8.3,48.1
2.6,88.4,7.6,72.9
3.6,58.6,6.3,56.3
5.5,50.8,5.3,54.8
4.7,42.4,5.2,47.2
3.5,74.3,5.6,62.9
6.2,79.3,7.0,77.4
2.2,41.0,7.7,43.3
3.5,69.7,7.5,67.7
4.1,53.1,5.8,55.4
4.9,77.4,8.8,80.0
7.7,50.1,7.8,61.6
2.7,80.1,7.0,70.2
5.4,62.4,7.3,64.9
6.0,94.3,6.4,91.2
1.4,48.0,5.6,39.8
6.2,59.8,6.1,61.5
2.4,46.6,7.9,45.0
1.6,93.6,4.6,65.5
9.1,90.9,5.0,89.3
9.2,55.0,4.7,65.3
7.9,78.3,4.7,79.0
3.6,87.4,8.3,77.7
1.8,72.2,7.7,65.9
6.8,70.7,6.6,75.3
4.7,54.0,4.9,52.7
2.0,45.4,6.7,40.9
5.2,92.0,6.6,83.5
1.3,92.2,5.3,66.6
8.7,76.7,6.5,86.6
3.2,59.7,6.3,58.3
6.6,60.3,7.3,65.3
3.6,82.1,7.4,68.0
5.4,92.0,4.7,83.9
5.6,91.5,6.2,82.3
2.6,85.2,7.3,74.5
9.2,77.2,6.8,80.1
7.6,44.9,8.4,59.0
9.0,49.4,7.5,66.3
8.6,92.1,5.2,90.3
6.1,75.2,4.8,70.6
8.8,40.5,7.4,61.4
1.8,45.9,4.6,37.7
2.7,78.5,7.1,66.7
1.4,40.3,8.7,40.9
3.8,49.3,7.1,52.5
4.3,71.8,6.2,67.9
3.3,80.1,7.4,67.4
8.0,77.8,6.6,77.1
4.0,53.0,7.0,57.2
3.4,81.3,8.7,73.6
5.6,53.8,6.2,56.2
2.2,58.9,8.8,58.9
7.8,83.3,8.6,86.6
1.6,77.7,5.4,64.4
9.4,89.3,4.8,90.3
7.6,78.1,5.0,83.2
2.7,73.0,4.6,64.9
1.0,45.4,4.9,37.6
7.9,61.3,7.6,73.5
7.0,55.4,4.8,63.0
7.2,54.2,5.9,65.9
7.6,96.4,8.3,91.5
1.6,62.8,4.6,52.5
4.0,91.7,8.2,83.3
2.0,76.6,5.8,58.0
8.3,86.1,5.0,82.2
6.3,69.2,7.6,66.6
3.8,73.5,7.3,66.5
1.5,68.6,8.4,60.7
3.6,51.3,7.8,56.5
3.8,81.9,8.1,73.8
7.2,56.3,5.8,67.8
6.4,41.4,5.3,47.7
8.5,77.4,7.9,79.3
5.0,50.3,8.1,56.3
2.0,94.5,9.0,78.8
7.1,95.3,6.4,89.4
7.5,93.1,6.2,83.8
5.8,61.5,8.0,65.6
7.6,40.9,6.0,51.8
5.2,93.8,8.7,87.6
5.4,64.8,8.4,68.2
4.6,96.1,6.4,80.7
1.2,95.9,7.9,73.9
1.9,89.5,7.9,70.3
1.3,57.1,5.0,46.6
6.4,62.3,8.6,71.1
3.7,89.4,6.8,74.2
5.3,58.4,8.2,63.9
8.7,49.8,5.9,62.5
3.1,72.3,8.5,63.9
4.5,94.3,6.3,81.2
7.4,80.4,4.5,75.8
2.9,73.1,8.6,64.6
1.7,45.6,4.9,37.3
3.5,75.7,5.9,71.0
2.4,97.4,8.8,80.7
8.9,48.1,8.8,65.0
7.9,70.1,7.1,76.7
6.4,90.9,7.3,85.5
8.4,83.0,6.5,84.7
7.8,80.4,5.8,82.6
2.6,80.7,6.0,68.8
8.6,60.9,7.5,71.3
5.6,57.0,7.9,60.8
7.9,86.9,8.1,87.6
8.6,87.0,8.1,84.6
3.7,90.3,4.9,71.1
1.9,93.0,6.7,77.2
2.9,69.7,4.8,63.3
4.6,69.1,7.0,65.6
8.0,86.3,6.5,87.7
8.3,77.7,8.5,84.7
1.1,80.7,6.1,70.6
5.3,86.2,5.0,79.7
4.5,91.6,5.1,77.9
2.9,59.6,7.9,54.0
2.0,61.8,7.3,50.5
3.9,45.5,5.0,47.0
9.0,73.5,4.9,77.0
3.7,42.1,7.7,43.4
5.4,67.0,4.8,62.8
7.0,71.5,8.2,73.2
4.1,56.6,7.7,61.7
9.3,74.3,4.9,82.4
9.2,41.8,4.9,58.8
3.1,42.2,8.9,50.5
5.2,87.7,6.2,79.2
3.6,60.9,6.2,55.0
3.4,47.4,8.2,54.0
1.3,70.3,8.8,61.2
6.2,84.7,8.9,80.5
5.3,52.5,7.9,58.0
1.4,76.1,6.2,58.6
3.4,45.0,4.9,41.2
